,Empirical_K5
1920,1
1921,0
1922,1
1923,0
1924,4
1925,0
1926,0
1927,2
1928,3
1929,1
1930,1
1931,0
1932,1
1933,2
1934,1
1935,2
1936,2
1937,2
1938,3
1939,2
1940,1
1941,2
1942,0
1943,0
1944,0
1945,0
1946,2
1947,1
1948,2
1949,0
1950,1
1951,0
1952,5
1953,4
1954,4
1955,1
1956,3
1957,7
1958,8
1959,4
1960,11
1961,9
1962,15
1963,14
1964,9
1965,26
1966,24
1967,23
1968,19
1969,13
1970,24
1971,11
1972,18
1973,17
1974,8
1975,12
1976,8
1977,14
1978,10
1979,10
1980,8
1981,6
1982,13
1983,8
1984,18
1985,17
1986,28
1987,21
1988,17
1989,13
1990,21
1991,20
1992,21
1993,12
1994,14
1995,12
1996,23
1997,25
1998,32
1999,31
2000,30
2001,43
2002,30
2003,25
2004,25
2005,21
2006,27
2007,34
2008,31
2009,22
2010,34
2011,40
2012,60
2013,48
2014,40
2015,50
2016,75
2017,65
2018,70
2019,85
